code,name,gap_down_date,gap_down_prev_low,gap_down_high,gap_down_pct,gap_up_date,gap_up_prev_high,gap_up_low,gap_up_pct,island_days,island_max_high,volume_ratio,gap_up_volume,gap_up_close
002792,通宇通讯,2026-07-14,30.96,29.5,4.72,2026-08-05,28.75,29.81,3.69,16,29.72,4.22,74028069,30.74
920061,西磁科技,2026-07-08,19.73,19.72,0.05,2026-08-05,16.93,17.48,3.25,20,19.72,3.57,3232414,17.87
920807,奔朗新材,2026-07-13,10.84,10.77,0.65,2026-08-05,8.92,9.25,3.7,17,10.77,3.4,7132910,9.43
300698,万马科技,2026-06-26,28.87,28.7,0.59,2026-08-05,25.55,26.0,1.76,28,28.7,3.3,94314,26.36
600410,华胜天成,2026-06-24,18.29,18.14,0.82,2026-08-05,15.62,15.81,1.22,30,18.14,3.21,214229595,16.15
301488,豪恩汽电,2026-07-13,116.49,115.78,0.61,2026-08-05,103.0,108.15,5.0,17,115.78,3.17,3958247,113.0
920092,汉鑫科技,2026-06-24,30.88,30.86,0.06,2026-08-05,30.43,31.01,1.91,30,30.86,3.17,10872451,37.44
600666,奥瑞德,2026-06-26,4.47,4.37,2.24,2026-08-05,3.78,3.82,1.06,28,4.37,3.01,351987727,3.93
600459,贵研铂业,2026-07-13,21.52,21.51,0.05,2026-08-05,19.16,19.76,3.13,17,21.51,2.51,46076386,20.73
001388,信通电子,2026-07-22,24.05,21.65,9.98,2026-08-05,22.42,22.9,2.14,10,23.82,2.47,17811153,23.41
600397,江钨装备,2026-07-07,23.09,22.61,2.08,2026-08-05,13.95,13.98,0.22,21,22.61,2.09,146544356,15.35
600111,北方稀土,2026-07-09,46.0,45.98,0.04,2026-08-05,40.59,41.2,1.5,19,45.98,2.07,95234270,41.77
002361,神剑股份,2026-07-14,11.46,11.07,3.4,2026-08-04,10.09,10.15,0.59,15,11.07,4.0,231774739,11.1
300052,中青宝,2026-07-03,13.02,12.91,0.84,2026-08-04,10.05,10.07,0.2,22,12.91,3.41,50381473,12.05
002693,双成药业,2026-07-20,9.47,9.4,0.74,2026-08-04,8.79,8.88,1.02,11,9.4,2.11,29281740,9.67
